wl,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,n21,n22,n23,n24,n25,n26,n27,n28,n29,n30,n31,n32,n33,n34,n35,n36,n37,n38,n39,n40,n41,n42,n43,n44
0.715,0.037797203,4.926993007,0.132202797,4.199702797,3.056608392,3.396608392,3.758783217,0.124104895,1.9889,0,1.9064,0.0133,2.3446,0.4627,3.8349,3.5416,3.0737,0.3035,2.96,0.3995,3.66437794,0.024330627,4.2005,0.051358528,3.0367,3.827,3.480150791,0.253116227,1.867380808,0.000410161,2.023648798,0,2.790864596,0.426384616,2.0796461,0,1.933698565,0.013917793,4.094967253,0.000589395,3.396321718,-1.12E-05,1.764991365,0.002585756
0.72,0.036793981,4.967523148,0.133206019,4.243744213,3.059618056,3.399618056,3.752763889,0.1186875,1.9865,0,1.9037,0.0135,2.3428,0.4604,3.8378,3.53,3.0697,0.3012,2.96,0.3956,3.658430287,0.023989569,4.1873,0.045918278,3.0499,3.8375,3.478610481,0.24924301,1.866564,0.000403144,2.02307867,0,2.788988625,0.431802583,2.077849645,0,1.928145023,0.013318895,4.08331765,0.000198788,3.389967385,-1.00E-05,1.760255737,0.002473752
0.73,0.034828767,5.046917808,0.135171233,4.330017123,3.065513699,3.405513699,3.741178082,0.111280822,1.9812,0,1.8983,0.0137,2.3395,0.456,3.84,3.5086,3.0607,0.2964,2.96,0.3873,3.648900335,0.023181707,4.1603,0.035190121,3.0762,3.8585,3.475802589,0.241468537,1.865036197,0.000389325,2.022012301,0,2.785763201,0.448509468,2.074510716,0,1.916903834,0.012120446,4.061735518,-3.02E-06,3.377915262,5.75E-07,1.750679781,0.00224982
0.735,0.033866213,5.085804989,0.136133787,4.372273243,3.068401361,3.408401361,3.736557823,0.107238095,1.98,0,1.8956,0.0139,2.3379,0.4539,3.8384,3.4986,3.0564,0.2942,2.96,0.3835,3.64431667,0.023153925,4.1474,0.030841822,3.0893,3.869,3.474368741,0.237774879,1.864250747,0.000382989,2.02146624,0,2.783236989,0.45754384,2.072903577,0,1.911214601,0.011520334,4.051822542,-1.61E-05,3.372187226,3.07E-06,1.745838276,0.002137712
0.74,0.032916667,5.124166667,0.137083333,4.413958333,3.07125,3.41125,3.73175,0.104,1.98,0,1.8929,0.014,2.3363,0.4519,3.8346,3.4881,3.0527,0.292,2.96,0.3804,3.639789109,0.023262941,4.1349,0.026964517,3.1023,3.8794,3.472933878,0.234289481,1.863549573,0.000376361,2.020977232,0,2.780744401,0.465530672,2.071290968,0,1.90547874,0.010919158,4.042430438,-1.68E-05,3.366643545,3.20E-06,1.740960358,0.002025435
0.745,0.031979866,5.162013423,0.138020134,4.455083893,3.074060403,3.414060403,3.726691275,0.101751678,1.98,0,1.8902,0.0142,2.3348,0.4499,3.8289,3.4772,3.05,0.29,2.9607,0.3781,3.635141621,0.023183433,4.1224,0.022943933,3.1153,3.8898,3.471555049,0.231052203,1.862832422,0.000370152,2.020477458,0,2.778871901,0.471884459,2.069637621,0,1.899695661,0.010316529,4.033485019,-1.04E-05,3.361275411,1.98E-06,1.736045502,0.00191295
0.75,0.031055556,5.199355556,0.138944444,4.495661111,3.076833333,3.416833333,3.7217,0.099533333,1.98,0,1.8875,0.0143,2.3333,0.4479,3.8215,3.4661,3.0479,0.2882,2.9628,0.376,3.630396108,0.023054225,4.1103,0.019198789,3.1282,3.9002,3.470289303,0.228102905,1.862125596,0.00036402,2.019987375,0,2.777572621,0.476893861,2.067913544,0,1.893864771,0.009712059,4.024912093,-2.01E-06,3.356074017,3.83E-07,1.73109318,0.001800217
0.755,0.030143488,5.236203091,0.139856512,4.535700883,3.079569536,3.419569536,3.716774834,0.097344371,1.98,0,1.8847,0.0145,2.3318,0.446,3.8128,3.4547,3.0461,0.2866,2.9655,0.3743,3.625740572,0.022766776,4.0989,0.015842896,3.141,3.9106,3.469193687,0.225481444,1.861447072,0.000358941,2.019516384,0,2.77644599,0.480927516,2.066143625,0,1.887985488,0.00910537,4.016641506,3.50E-06,3.351030699,-6.65E-07,1.726102863,0.001687194
0.76,0.030698381,5.275871457,0.141396761,4.579782389,3.088380567,3.424190283,3.711914474,0.095184211,1.98,0,1.882,0.0146,2.3304,0.4441,3.803,3.4433,3.0444,0.2851,2.9681,0.3726,3.621195836,0.022669375,4.0873,0.012818036,3.1539,3.9209,3.468319125,0.223217401,1.860800469,0.000353329,2.019068725,0,2.775087584,0.484354068,2.064385334,0,1.882057272,0.008496192,4.008642486,5.19E-06,3.346138186,-9.87E-07,1.72107398,0.001573826
0.765,0.031518351,5.31564002,0.143036702,4.624142785,3.098220211,3.429110106,3.707117647,0.093052288,1.98,0,1.8792,0.0148,2.329,0.4423,3.7923,3.432,3.0428,0.2834,2.9698,0.3709,3.616475882,0.021998546,4.0754,0.010053028,3.1666,3.9312,3.467671272,0.221264384,1.860112644,0.000346849,2.018592923,0,2.773092979,0.487508817,2.062696571,0,1.876079616,0.007884312,4.000906518,4.31E-06,3.341389994,-8.20E-07,1.716005938,0.001460047
